symbol,prediction_session,target_session,calendar_gap_days,missed_market_sessions,classification
GOYALALUM.NS,2016-09-12,2022-11-04,2244,1519,LISTING_BOUNDARY
MEDANTA.NS,2017-01-24,2022-11-16,2122,1435,LISTING_BOUNDARY
RHL.NS,2017-09-06,2023-04-25,2057,1391,LISTING_BOUNDARY
AARTIPHARM.NS,2017-07-18,2023-01-30,2022,1369,LONG_SUSPENSION
PARASPETRO.NS,2017-07-24,2022-12-23,1978,1340,LONG_SUSPENSION
KAMOPAINTS.NS,2017-12-04,2023-01-24,1877,1272,LONG_SUSPENSION
MALLCOM.NS,2017-02-23,2022-02-02,1805,1220,LONG_SUSPENSION
KFINTECH.NS,2018-05-29,2022-12-29,1675,1135,LISTING_BOUNDARY
ROTO.NS,2018-04-13,2022-04-21,1469,993,LONG_SUSPENSION
INTLCONV.NS,2017-10-31,2021-09-16,1416,958,LONG_SUSPENSION
ASIANENE.NS,2018-02-06,2021-12-09,1402,947,LONG_SUSPENSION
BAJAJHCARE.NS,2018-02-01,2021-11-25,1393,940,LONG_SUSPENSION
STARHEALTH.NS,2018-02-19,2021-12-10,1390,940,LONG_SUSPENSION
POCL.NS,2019-06-24,2023-03-06,1351,919,LONG_SUSPENSION
DRCSYSTEMS.NS,2017-09-11,2021-03-10,1276,864,LONG_SUSPENSION
ORTINGLOBE.NS,2017-11-21,2021-03-30,1225,828,LISTING_BOUNDARY
DHRUV.NS,2018-07-31,2021-11-25,1213,817,LONG_SUSPENSION
RAJRATAN.NS,2017-02-08,2020-05-22,1199,806,LONG_SUSPENSION
AJOONI.NS,2018-02-19,2021-05-07,1173,792,LISTING_BOUNDARY
RAMAPHO.NS,2019-06-06,2022-08-05,1156,787,LONG_SUSPENSION
RAINBOW.NS,2019-06-04,2022-05-10,1071,725,LONG_SUSPENSION
ALIVUS.NS,2018-09-05,2021-08-06,1066,719,LISTING_BOUNDARY
LCCINFOTEC.NS,2018-07-02,2021-03-31,1003,677,LONG_SUSPENSION
HOMEFIRST.NS,2018-07-27,2021-02-03,922,620,LONG_SUSPENSION
MARINE.NS,2018-06-27,2020-12-02,889,599,LONG_SUSPENSION
SHIVAUM.NS,2017-05-24,2019-10-01,860,579,LONG_SUSPENSION
LATENTVIEW.NS,2019-08-05,2021-11-23,841,568,LONG_SUSPENSION
MEDPLUS.NS,2019-09-26,2021-12-23,819,556,LONG_SUSPENSION
UMESLTD.NS,2016-12-13,2019-02-11,790,534,LISTING_BOUNDARY
BECTORFOOD.NS,2018-11-09,2020-12-24,776,526,LONG_SUSPENSION
TARC.NS,2018-11-05,2020-12-18,774,524,LISTING_BOUNDARY
VINEETLAB.NS,2019-05-08,2021-06-15,769,521,LONG_SUSPENSION
PIXTRANS.NS,2020-04-21,2022-04-28,737,503,LONG_SUSPENSION
SURYODAY.NS,2019-04-16,2021-03-26,710,481,LONG_SUSPENSION
ANGELONE.NS,2018-11-28,2020-10-05,677,457,LONG_SUSPENSION
SEJALLTD.NS,2020-02-12,2021-12-13,670,453,LONG_SUSPENSION
ROUTE.NS,2018-11-30,2020-09-21,661,446,LONG_SUSPENSION
PVP.NS,2019-10-29,2021-07-22,632,431,LONG_SUSPENSION
ADL.NS,2019-02-27,2020-10-01,582,392,LONG_SUSPENSION
BBTCL.NS,2017-03-15,2018-10-15,579,391,LONG_SUSPENSION
HECPROJECT.NS,2019-11-14,2021-04-05,508,346,LONG_SUSPENSION
NARMADA.NS,2016-12-02,2018-04-19,503,340,LONG_SUSPENSION
INDIGOPNTS.NS,2019-10-18,2021-02-02,473,322,LONG_SUSPENSION
CCCL.NS,2023-05-24,2024-09-03,468,317,LONG_SUSPENSION
SONAMLTD.NS,2017-05-02,2018-06-14,408,278,LONG_SUSPENSION
ARTNIRMAN.NS,2019-10-30,2020-12-02,399,273,LONG_SUSPENSION
NORBTEAEXP.NS,2017-04-07,2018-04-09,367,246,LONG_SUSPENSION
REGENCERAM.NS,2020-03-05,2021-03-01,361,245,LONG_SUSPENSION
ACEINTEG.NS,2020-03-19,2021-03-10,356,243,LONG_SUSPENSION
ANTGRAPHIC.NS,2020-03-11,2021-03-01,355,242,LONG_SUSPENSION
KAVDEFENCE.NS,2020-03-11,2021-03-01,355,242,LONG_SUSPENSION
KHAITANLTD.NS,2020-03-11,2021-03-01,355,242,LONG_SUSPENSION
TARAPUR.NS,2020-03-11,2021-03-01,355,242,LONG_SUSPENSION
KOHINOOR.NS,2021-05-03,2022-04-06,338,231,LONG_SUSPENSION
ORTINGLOBE.NS,2016-12-13,2017-11-14,336,227,LISTING_BOUNDARY
KAPSTON.NS,2017-05-05,2018-04-04,334,225,LONG_SUSPENSION
RHL.NS,2016-10-17,2017-09-06,324,220,LISTING_BOUNDARY
ACEINTEG.NS,2016-09-12,2017-07-13,304,205,LISTING_BOUNDARY
VAISHALI.NS,2016-11-02,2017-08-22,293,199,LONG_SUSPENSION
CYBERMEDIA.NS,2020-03-03,2020-12-16,288,196,LONG_SUSPENSION
BALAXI.NS,2016-10-07,2017-07-10,276,184,LONG_SUSPENSION
SPCENET.NS,2017-12-26,2018-09-17,265,179,LONG_SUSPENSION
POCL.NS,2018-02-06,2018-10-25,261,175,LONG_SUSPENSION
BESTAGRO.NS,2023-07-26,2024-04-10,259,175,LONG_SUSPENSION
COFFEEDAY.NS,2020-08-24,2021-04-26,245,165,LONG_SUSPENSION
ZENITHSTL.NS,2017-04-07,2017-11-06,213,142,LONG_SUSPENSION
INFOMEDIA.NS,2018-08-06,2019-03-05,211,139,LONG_SUSPENSION
DSSL.NS,2016-12-13,2017-07-10,209,141,LISTING_BOUNDARY
SHANTI.NS,2017-01-12,2017-08-03,203,137,LONG_SUSPENSION
BCG.NS,2024-12-30,2025-07-14,196,133,LONG_SUSPENSION
BECTORFOOD.NS,2018-05-09,2018-11-09,184,123,LONG_SUSPENSION
SHIVAUM.NS,2024-01-03,2024-07-03,182,122,LONG_SUSPENSION
GICL.NS,2021-05-12,2021-11-04,176,120,LONG_SUSPENSION
NIRAJISPAT.NS,2024-03-14,2024-09-04,174,115,LISTING_BOUNDARY
GEEKAYWIRE.NS,2018-09-07,2019-02-26,172,113,LONG_SUSPENSION
JASH.NS,2017-04-25,2017-10-11,169,115,LONG_SUSPENSION
INFOMEDIA.NS,2019-03-05,2019-08-13,161,107,LONG_SUSPENSION
VINEETLAB.NS,2018-11-30,2019-05-08,159,105,LONG_SUSPENSION
ARVEE.NS,2019-09-26,2020-03-02,158,106,LONG_SUSPENSION
BALAXI.NS,2018-10-15,2019-03-19,155,104,LONG_SUSPENSION
PANSARI.NS,2020-01-13,2020-06-15,154,102,LONG_SUSPENSION
LATTEYS.NS,2021-10-27,2022-03-29,153,103,LONG_SUSPENSION
MASKINVEST.NS,2017-06-23,2017-11-22,152,101,LONG_SUSPENSION
ARVEE.NS,2020-10-22,2021-03-22,151,102,LONG_SUSPENSION
DCMFINSERV.NS,2018-07-05,2018-12-03,151,97,LONG_SUSPENSION
HECPROJECT.NS,2018-10-25,2019-03-25,151,100,LONG_SUSPENSION
SURYODAY.NS,2018-08-16,2019-01-09,146,94,LONG_SUSPENSION
LGHL.NS,2022-08-24,2023-01-16,145,98,LONG_SUSPENSION
CROWN.NS,2020-10-12,2021-03-05,144,100,LONG_SUSPENSION
ARTNIRMAN.NS,2018-11-01,2019-03-22,141,94,LONG_SUSPENSION
WEWIN.NS,2020-03-23,2020-08-10,140,93,LONG_SUSPENSION
NIRAJISPAT.NS,2025-02-05,2025-06-16,131,85,LONG_SUSPENSION
CCCL.NS,2019-10-29,2020-03-04,127,88,LONG_SUSPENSION
PANSARI.NS,2021-06-16,2021-10-19,125,84,LONG_SUSPENSION
SHIVAUM.NS,2022-09-28,2023-01-31,125,84,LONG_SUSPENSION
WEALTH.NS,2018-11-26,2019-03-29,123,85,LONG_SUSPENSION
ABINFRA.NS,2020-03-31,2020-07-31,122,81,LONG_SUSPENSION
INDIGOPNTS.NS,2018-11-19,2019-03-20,121,83,LONG_SUSPENSION
AJOONI.NS,2017-10-17,2018-02-14,120,80,LISTING_BOUNDARY
DHRUV.NS,2018-01-31,2018-05-31,120,80,LISTING_BOUNDARY
UNITEDPOLY.NS,2018-10-25,2019-02-22,120,81,LONG_SUSPENSION
LATTEYS.NS,2018-11-15,2019-03-14,119,81,LONG_SUSPENSION
BLUECHIP.NS,2016-12-13,2017-04-10,118,79,LISTING_BOUNDARY
GLFL.NS,2016-12-13,2017-04-10,118,79,LISTING_BOUNDARY
GLFL.NS,2018-11-27,2019-03-25,118,80,LONG_SUSPENSION
KHAITANLTD.NS,2016-12-13,2017-04-10,118,79,LISTING_BOUNDARY
LCCINFOTEC.NS,2016-12-13,2017-04-10,118,79,LONG_SUSPENSION
SILGO.NS,2020-07-28,2020-11-23,118,82,LONG_SUSPENSION
IRISDOREME.NS,2020-04-23,2020-08-18,117,80,LONG_SUSPENSION
ARVEE.NS,2018-11-30,2019-03-26,116,78,LONG_SUSPENSION
PASHUPATI.NS,2018-11-19,2019-03-15,116,80,LONG_SUSPENSION
SILGO.NS,2019-10-11,2020-02-04,116,79,LONG_SUSPENSION
CROWN.NS,2018-11-20,2019-03-15,115,79,LONG_SUSPENSION
BBTCL.NS,2020-04-08,2020-07-29,112,75,LONG_SUSPENSION
FORCEMOT.NS,2023-10-25,2024-02-14,112,76,LONG_SUSPENSION
PANSARI.NS,2018-11-01,2019-02-21,112,75,LONG_SUSPENSION
MKPL.NS,2019-08-16,2019-12-05,111,72,LONG_SUSPENSION
HECPROJECT.NS,2021-05-12,2021-08-27,107,73,LONG_SUSPENSION
PANSARI.NS,2019-08-26,2019-12-10,106,69,LONG_SUSPENSION
PIGL.NS,2018-11-15,2019-03-01,106,73,LONG_SUSPENSION
MKPL.NS,2021-06-09,2021-09-22,105,71,LONG_SUSPENSION
AWL.NS,2022-05-04,2022-08-16,104,71,LONG_SUSPENSION
POCL.NS,2018-11-30,2019-03-14,104,71,LONG_SUSPENSION
SECURKLOUD.NS,2020-05-26,2020-09-07,104,73,LONG_SUSPENSION
SHIVAUM.NS,2022-06-07,2022-09-19,104,70,LONG_SUSPENSION
SURYODAY.NS,2017-08-02,2017-11-14,104,68,LONG_SUSPENSION
CROWN.NS,2020-06-25,2020-10-06,103,71,LONG_SUSPENSION
SHIVAUM.NS,2020-03-05,2020-06-16,103,65,LONG_SUSPENSION
AVROIND.NS,2020-03-09,2020-06-16,99,63,LONG_SUSPENSION
BLUECHIP.NS,2018-11-26,2019-03-05,99,68,LONG_SUSPENSION
SHIVAUM.NS,2025-02-12,2025-05-22,99,63,LONG_SUSPENSION
MITCON.NS,2020-08-19,2020-11-25,98,68,LONG_SUSPENSION
S&SPOWER.NS,2022-04-25,2022-08-01,98,68,LONG_SUSPENSION
ACEINTEG.NS,2019-06-11,2019-09-16,97,64,LONG_SUSPENSION
BANKA.NS,2018-11-21,2019-02-26,97,66,LONG_SUSPENSION
ESSENTIA.NS,2018-11-30,2019-03-07,97,66,LONG_SUSPENSION
GICL.NS,2018-11-30,2019-03-07,97,66,LONG_SUSPENSION
NITIRAJ.NS,2018-11-29,2019-03-06,97,66,LONG_SUSPENSION
BBTCL.NS,2018-11-30,2019-03-06,96,65,LONG_SUSPENSION
NORBTEAEXP.NS,2018-07-06,2018-10-10,96,62,LONG_SUSPENSION
PIGL.NS,2019-10-09,2020-01-13,96,64,LONG_SUSPENSION
ARENTERP.NS,2018-11-30,2019-03-05,95,64,LONG_SUSPENSION
CYBERMEDIA.NS,2017-04-07,2017-07-11,95,63,LONG_SUSPENSION
HINDCON.NS,2018-11-30,2019-03-05,95,64,LONG_SUSPENSION
SILGO.NS,2018-11-30,2019-03-05,95,64,LONG_SUSPENSION
KHAITANLTD.NS,2017-10-06,2018-01-08,94,62,LONG_SUSPENSION
SHANTI.NS,2020-10-05,2021-01-06,93,64,LONG_SUSPENSION
VAISHALI.NS,2018-11-27,2019-02-28,93,65,LONG_SUSPENSION
AJOONI.NS,2017-07-17,2017-10-17,92,62,LISTING_BOUNDARY
BLUECOAST.NS,2023-03-06,2023-06-06,92,59,SUSPENSION
DPABHUSHAN.NS,2018-11-29,2019-03-01,92,64,LONG_SUSPENSION
INDIGOPNTS.NS,2019-03-20,2019-06-20,92,59,SUSPENSION
MASKINVEST.NS,2018-07-25,2018-10-25,92,59,SUSPENSION
MBAPL.NS,2018-11-22,2019-02-22,92,63,LONG_SUSPENSION
MKPL.NS,2018-11-28,2019-02-28,92,64,LONG_SUSPENSION
PASHUPATI.NS,2020-10-29,2021-01-29,92,62,LONG_SUSPENSION
RKEC.NS,2018-11-29,2019-03-01,92,64,LONG_SUSPENSION
SUPREMEINF.NS,2021-08-02,2021-11-02,92,62,LONG_SUSPENSION
ZENITHEXPO.NS,2016-11-03,2017-02-03,92,63,LISTING_BOUNDARY
ZODIAC.NS,2018-11-29,2019-03-01,92,64,LONG_SUSPENSION
BLUECHIP.NS,2017-09-04,2017-12-04,91,61,LONG_SUSPENSION
INFOMEDIA.NS,2019-08-26,2019-11-25,91,58,SUSPENSION
JAIPURKURT.NS,2018-11-30,2019-03-01,91,63,LONG_SUSPENSION
KAMOPAINTS.NS,2017-09-04,2017-12-04,91,61,LONG_SUSPENSION
SOUTHWEST.NS,2018-11-22,2019-02-21,91,62,LONG_SUSPENSION
GICL.NS,2019-12-04,2020-03-03,90,62,LONG_SUSPENSION
PIXTRANS.NS,2018-11-28,2019-02-26,90,62,LONG_SUSPENSION
ACEINTEG.NS,2021-03-10,2021-06-07,89,56,SUSPENSION
ADL.NS,2018-08-16,2018-11-13,89,55,SUSPENSION
MKPL.NS,2020-10-15,2021-01-12,89,60,SUSPENSION
NARMADA.NS,2018-11-29,2019-02-26,89,61,LONG_SUSPENSION
ACEINTEG.NS,2021-12-30,2022-03-28,88,58,SUSPENSION
ARVEE.NS,2020-03-12,2020-06-08,88,55,SUSPENSION
OSWALSEEDS.NS,2018-11-30,2019-02-26,88,60,SUSPENSION
SOLEX.NS,2018-11-30,2019-02-26,88,60,SUSPENSION
AKG.NS,2018-11-30,2019-02-25,87,59,SUSPENSION
MASKINVEST.NS,2018-11-27,2019-02-22,87,61,LONG_SUSPENSION
MMP.NS,2018-11-30,2019-02-25,87,59,SUSPENSION
SHANTI.NS,2018-11-30,2019-02-25,87,59,SUSPENSION
SUMIT.NS,2018-11-30,2019-02-25,87,59,SUSPENSION
TEMBO.NS,2018-11-26,2019-02-21,87,61,LONG_SUSPENSION
CROWN.NS,2020-03-31,2020-06-25,86,55,SUSPENSION
KAPSTON.NS,2018-11-27,2019-02-21,86,60,SUSPENSION
LGHL.NS,2022-03-23,2022-06-17,86,58,SUSPENSION
AJOONI.NS,2017-02-14,2017-05-10,85,55,LISTING_BOUNDARY
AVROIND.NS,2018-11-28,2019-02-21,85,59,SUSPENSION
SHANTI.NS,2021-06-22,2021-09-15,85,57,SUSPENSION
AARVI.NS,2018-11-29,2019-02-21,84,58,SUSPENSION
ACEINTEG.NS,2018-11-30,2019-02-22,84,58,SUSPENSION
AIROLAM.NS,2018-11-30,2019-02-22,84,58,SUSPENSION
ARTNIRMAN.NS,2020-12-02,2021-02-24,84,57,SUSPENSION
BCONCEPTS.NS,2018-11-29,2019-02-21,84,58,SUSPENSION
DHRUV.NS,2017-10-31,2018-01-23,84,58,LISTING_BOUNDARY
INNOVANA.NS,2018-11-29,2019-02-21,84,58,SUSPENSION
IRISDOREME.NS,2018-11-29,2019-02-21,84,58,LISTING_BOUNDARY
JASH.NS,2018-11-29,2019-02-21,84,58,SUSPENSION
KRISHANA.NS,2018-11-29,2019-02-21,84,58,SUSPENSION
LAGNAM.NS,2018-11-29,2019-02-21,84,58,SUSPENSION
LAXMICOT.NS,2018-11-29,2019-02-21,84,58,SUSPENSION
LFIC.NS,2018-11-30,2019-02-22,84,58,SUSPENSION
LIBAS.NS,2018-11-30,2019-02-22,84,58,SUSPENSION
MCL.NS,2018-11-29,2019-02-21,84,58,SUSPENSION
MITCON.NS,2018-11-29,2019-02-21,84,58,SUSPENSION
MITTAL.NS,2018-11-30,2019-02-22,84,58,SUSPENSION
MODIRUBBER.NS,2018-11-29,2019-02-21,84,58,SUSPENSION
SARVESHWAR.NS,2018-11-29,2019-02-21,84,58,SUSPENSION
SEJALLTD.NS,2018-11-29,2019-02-21,84,58,SUSPENSION
SIRCA.NS,2018-11-30,2019-02-22,84,58,SUSPENSION
STEELCITY.NS,2018-11-30,2019-02-22,84,58,SUSPENSION
TARACHAND.NS,2018-11-30,2019-02-22,84,58,SUSPENSION
THEJO.NS,2018-11-29,2019-02-21,84,58,SUSPENSION
THOMASCOTT.NS,2018-11-29,2019-02-21,84,58,SUSPENSION
TOTAL.NS,2018-11-29,2019-02-21,84,58,SUSPENSION
WIPL.NS,2018-11-29,2019-02-21,84,58,SUSPENSION
WORTHPERI.NS,2018-11-30,2019-02-22,84,58,SUSPENSION
WSI.NS,2018-11-30,2019-02-22,84,58,SUSPENSION
AARON.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
AGROPHOS.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
AHLADA.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
AIRAN.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
AKASH.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
ANTGRAPHIC.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
BIOFILCHEM.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
BVCL.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
CNL.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
CROWN.NS,2019-12-26,2020-03-18,83,57,SUSPENSION
GUJRAFFIA.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
HAVISHA.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
HEXATRADEX.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
ICEMAKE.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
INFOBEAN.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
JITFINFRA.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
JWL.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
JYOTISTRUC.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
KALYANIFRG.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
KERNEX.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
LEXUS.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
MACPOWER.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
MAHAPEXLTD.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
MITCON.NS,2020-03-24,2020-06-15,83,52,SUSPENSION
PILANIINVS.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
PKTEA.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
REGENCERAM.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
RELIABLE.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
RUCHINFRA.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
SAKAR.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
SHRIPISTON.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
SIL.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
SILLYMONKS.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
SINTERCOM.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
SOFTTECH.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
SONAMLTD.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
SPCENET.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
TNTELE.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
TOUCHWOOD.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
TPHQ.NS,2019-04-23,2019-07-15,83,55,SUSPENSION
UNIINFO.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
UNITECH.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
WANBURY.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
ZENITHSTL.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
ZOTA.NS,2018-11-30,2019-02-21,83,57,SUSPENSION
THEJO.NS,2016-11-10,2017-01-31,82,55,LISTING_BOUNDARY
WEALTH.NS,2019-11-14,2020-02-04,82,57,SUSPENSION
SHANTI.NS,2020-03-26,2020-06-15,81,50,SUSPENSION
HECPROJECT.NS,2019-06-03,2019-08-22,80,54,SUSPENSION
PIXTRANS.NS,2019-05-10,2019-07-29,80,54,SUSPENSION
UNITEDPOLY.NS,2019-03-29,2019-06-17,80,50,SUSPENSION
UNITEDPOLY.NS,2020-03-20,2020-06-08,80,49,SUSPENSION
ARTNIRMAN.NS,2021-05-05,2021-07-23,79,54,SUSPENSION
IRISDOREME.NS,2019-05-15,2019-08-01,78,54,SUSPENSION
LGHL.NS,2021-10-13,2021-12-30,78,52,SUSPENSION
MKPL.NS,2021-03-23,2021-06-09,78,50,SUSPENSION
TPHQ.NS,2016-10-18,2017-01-04,78,53,LISTING_BOUNDARY
TPHQ.NS,2018-02-15,2018-05-04,78,51,SUSPENSION
CROWN.NS,2019-09-25,2019-12-11,77,50,SUSPENSION
PASHUPATI.NS,2023-08-22,2023-11-07,77,51,SUSPENSION
SUBEXLTD.NS,2018-10-24,2019-01-09,77,50,SUSPENSION
SUBEXLTD.NS,2020-06-03,2020-08-18,76,53,SUSPENSION
NITIRAJ.NS,2020-04-29,2020-07-13,75,50,SUSPENSION
RADAAN.NS,2023-03-16,2023-05-30,75,47,SUSPENSION
NITIRAJ.NS,2020-09-11,2020-11-24,74,50,SUSPENSION
GICL.NS,2020-03-27,2020-06-08,73,44,SUSPENSION
MKPL.NS,2020-03-31,2020-06-12,73,46,SUSPENSION
SHIVAUM.NS,2024-07-16,2024-09-27,73,50,SUSPENSION
TPHQ.NS,2021-06-14,2021-08-25,72,49,SUSPENSION
DCI.NS,2020-09-08,2020-11-18,71,49,SUSPENSION
BLUECOAST.NS,2022-10-24,2023-01-02,70,47,SUSPENSION
JAIPURKURT.NS,2020-04-01,2020-06-10,70,43,SUSPENSION
NIRAJISPAT.NS,2024-10-10,2024-12-19,70,47,LISTING_BOUNDARY
SPCENET.NS,2017-09-04,2017-11-13,70,46,SUSPENSION
ANGELONE.NS,2018-06-15,2018-08-23,69,46,SUSPENSION
ARVEE.NS,2019-03-26,2019-06-03,69,44,SUSPENSION
GEEKAYWIRE.NS,2019-02-26,2019-05-06,69,42,SUSPENSION
WEALTH.NS,2019-06-13,2019-08-21,69,46,SUSPENSION
TPHQ.NS,2018-08-03,2018-10-10,68,42,SUSPENSION
UNITEDPOLY.NS,2019-12-27,2020-03-04,68,47,SUSPENSION
ALIVUS.NS,2018-04-06,2018-06-12,67,45,LISTING_BOUNDARY
CROWN.NS,2019-04-26,2019-07-02,67,43,SUSPENSION
LCCINFOTEC.NS,2016-10-07,2016-12-13,67,42,SUSPENSION
TARAPUR.NS,2016-10-07,2016-12-13,67,42,SUSPENSION
ARVEE.NS,2020-06-09,2020-08-12,64,45,SUSPENSION
JAYNECOIND.NS,2018-12-19,2019-02-21,64,44,SUSPENSION
LGHL.NS,2020-09-23,2020-11-26,64,44,SUSPENSION
MASKINVEST.NS,2017-02-06,2017-04-11,64,42,LISTING_BOUNDARY
NEXTMEDIA.NS,2018-12-19,2019-02-21,64,44,SUSPENSION
SIGMAADV.NS,2018-12-19,2019-02-21,64,44,SUSPENSION
TPHQ.NS,2021-10-13,2021-12-16,64,42,SUSPENSION
UNITEDPOLY.NS,2019-10-24,2019-12-27,64,43,SUSPENSION
ADL.NS,2017-12-06,2018-02-07,63,42,SUSPENSION
ARVEE.NS,2019-07-25,2019-09-26,63,40,SUSPENSION
BLUECHIP.NS,2019-04-01,2019-06-03,63,40,SUSPENSION
BLUECHIP.NS,2019-08-05,2019-10-07,63,39,SUSPENSION
GALLANTT.NS,2017-09-04,2017-11-06,63,41,SUSPENSION
GICL.NS,2021-02-03,2021-04-07,63,41,SUSPENSION
MASKINVEST.NS,2017-04-11,2017-06-13,63,42,SUSPENSION
NARMADA.NS,2021-08-27,2021-10-29,63,42,SUSPENSION
PIXTRANS.NS,2019-03-08,2019-05-10,63,39,SUSPENSION
SURYODAY.NS,2017-12-06,2018-02-07,63,42,SUSPENSION
TARC.NS,2018-09-03,2018-11-05,63,40,LISTING_BOUNDARY
WEALTH.NS,2017-10-25,2017-12-27,63,43,SUSPENSION
BCONCEPTS.NS,2020-03-18,2020-05-19,62,38,SUSPENSION
KHAITANLTD.NS,2018-12-21,2019-02-21,62,42,SUSPENSION
KHANDSE.NS,2018-12-21,2019-02-21,62,42,SUSPENSION
LATTEYS.NS,2022-03-29,2022-05-30,62,40,SUSPENSION
SAGARDEEP.NS,2016-12-22,2017-02-22,62,42,LISTING_BOUNDARY
SAGARDEEP.NS,2018-07-19,2018-09-19,62,40,SUSPENSION
SONAMLTD.NS,2020-03-26,2020-05-27,62,37,SUSPENSION
ANGELONE.NS,2017-05-10,2017-07-10,61,41,SUSPENSION
ANGELONE.NS,2018-09-28,2018-11-28,61,37,SUSPENSION
BAJAJHCARE.NS,2017-06-16,2017-08-16,61,40,LISTING_BOUNDARY
BAJAJHCARE.NS,2017-08-16,2017-10-16,61,40,LISTING_BOUNDARY
BANKA.NS,2018-09-21,2018-11-21,61,38,SUSPENSION
BECTORFOOD.NS,2016-09-16,2016-11-16,61,38,LISTING_BOUNDARY
DHRUV.NS,2017-03-31,2017-05-31,61,39,LISTING_BOUNDARY
DHRUV.NS,2017-05-31,2017-07-31,61,41,LISTING_BOUNDARY
DHRUV.NS,2017-08-31,2017-10-31,61,39,LISTING_BOUNDARY
DHRUV.NS,2018-05-31,2018-07-31,61,42,SUSPENSION
GICL.NS,2018-07-19,2018-09-18,61,39,SUSPENSION
NORBTEAEXP.NS,2019-01-11,2019-03-13,61,41,SUSPENSION
PASHUPATI.NS,2023-06-08,2023-08-08,61,41,SUSPENSION
RAJRATAN.NS,2016-11-24,2017-01-24,61,42,SUSPENSION
SAGARDEEP.NS,2017-03-22,2017-05-22,61,39,LISTING_BOUNDARY
SAGARDEEP.NS,2017-08-24,2017-10-24,61,38,LISTING_BOUNDARY
SAGARDEEP.NS,2018-03-14,2018-05-14,61,39,SUSPENSION
STARHEALTH.NS,2017-07-20,2017-09-19,61,40,SUSPENSION
STARHEALTH.NS,2017-09-28,2017-11-28,61,39,SUSPENSION
VINEETLAB.NS,2018-05-30,2018-07-30,61,42,SUSPENSION
VINEETLAB.NS,2018-08-30,2018-10-30,61,38,SUSPENSION
WEALTH.NS,2020-06-25,2020-08-25,61,42,SUSPENSION
INDIGOPNTS.NS,2019-06-20,2019-08-19,60,39,SUSPENSION
INDIGOPNTS.NS,2019-08-19,2019-10-18,60,39,SUSPENSION
SHIVAUM.NS,2023-09-08,2023-11-07,60,38,SUSPENSION
TARAPUR.NS,2018-10-05,2018-12-04,60,37,SUSPENSION
WEALTH.NS,2020-04-23,2020-06-22,60,39,SUSPENSION
AJOONI.NS,2016-12-12,2017-02-09,59,41,LISTING_BOUNDARY
BECTORFOOD.NS,2017-02-13,2017-04-13,59,39,LISTING_BOUNDARY
DHRUV.NS,2017-01-31,2017-03-31,59,40,LISTING_BOUNDARY
LATENTVIEW.NS,2019-05-10,2019-07-08,59,39,LISTING_BOUNDARY
OSWALSEEDS.NS,2020-03-20,2020-05-18,59,35,SUSPENSION
HINDCON.NS,2020-04-13,2020-06-10,58,38,SUSPENSION
PIXTRANS.NS,2017-05-03,2017-06-30,58,40,SUSPENSION
SILGO.NS,2019-08-14,2019-10-11,58,36,SUSPENSION
TPHQ.NS,2018-10-10,2018-12-07,58,37,SUSPENSION
