timestamp,symbol,instrument_key,instrument_class,status,rows_received,rows_valid,rows_saved,rows_existing,first_session,last_session,conventions,duplicates,weekend_violations,ohlc_violations,refetch_compared,refetch_identical,error_type,error_message,elapsed_seconds,attempt
2026-09-07T14:53:45,SHUKRAPHAR.NS,NSE_EQ|INE551C01044,nse_equity,SUCCESS,17,17,7,10,2026-08-14,2026-09-07,03:45,0,0,0,10,10,,,10.43,1
2026-09-07T14:53:46,SHYAMMETL.NS,NSE_EQ|INE810G01011,nse_equity,SUCCESS,1292,1292,1282,10,2021-06-24,2026-09-07,03:45,0,0,0,10,10,,,10.95,1
2026-09-07T14:53:46,SIEL.NS,NSE_EQ|INE843L01012,nse_equity,SUCCESS,16,16,6,10,2026-08-17,2026-09-07,03:45,0,0,0,10,10,,,10.78,1
2026-09-07T14:53:47,SICAGEN.NS,NSE_EQ|INE176J01011,nse_equity,SUCCESS,98,98,88,10,2026-04-20,2026-09-07,03:45,0,0,0,10,10,,,11.14,1
2026-09-07T14:53:47,SHYAMTEL.NS,NSE_EQ|INE635A01023,nse_equity,SUCCESS,1796,1796,1786,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,11.42,1
2026-09-07T14:53:48,SIEMENS.NS,NSE_EQ|INE003A01024,nse_equity,SUCCESS,2477,2477,2467,10,2016-09-06,2026-09-07,03:45,0,0,0,10,10,,,12.04,1
2026-09-07T14:53:53,SIMPLXREA.NS,NSE_EQ|INE167H01014,nse_equity,SUCCESS,14,14,6,8,2026-08-17,2026-09-07,03:45,0,0,0,8,8,,,9.57,1
2026-09-07T14:53:54,SIKA.NS,NSE_EQ|INE438E01032,nse_equity,SUCCESS,98,98,88,10,2026-04-20,2026-09-07,03:45,0,0,0,10,10,,,11.08,1
2026-09-07T14:53:54,SIGACHI.NS,NSE_EQ|INE0D0K01022,nse_equity,SUCCESS,1195,1195,1185,10,2021-11-15,2026-09-07,03:45,0,0,0,10,10,,,16.48,1
2026-09-07T14:53:54,SIGNATURE.NS,NSE_EQ|INE903U01023,nse_equity,SUCCESS,731,731,721,10,2023-09-27,2026-09-07,03:45,0,0,0,10,9,,,11.10,1
2026-09-07T14:53:54,SIGNPOST.NS,NSE_EQ|INE0KGZ01021,nse_equity,SUCCESS,636,636,626,10,2024-02-14,2026-09-07,03:45,0,0,0,10,10,,,11.25,1
2026-09-07T14:53:54,SIGMA.NS,NSE_EQ|INE0A0S01028,nse_equity,SUCCESS,1273,1273,1263,10,2020-10-19,2026-09-07,03:45,0,0,0,10,10,,,14.26,1
2026-09-07T14:53:54,SIGIND.NS,NSE_EQ|INE529F01035,nse_equity,SUCCESS,1987,1987,1977,10,2018-08-29,2026-09-07,03:45,0,0,0,10,10,,,15.68,1
