symbol,category,instrument_class,in_upstox_master,identity_class,legacy_rows,canonical_rows,intersection_sessions,legacy_only_sessions,canonical_only_sessions,replacement_pct,legacy_first,legacy_last,canonical_first,canonical_last
SYSTMTXC.NS,NO_REPLACEMENT,nse_equity,False,unknown_no_master_entry,172,0,0,172,0,0.0,2025-10-06,2026-06-17,,
CUBEINVIT-IV.NS,NO_REPLACEMENT,non_equity_series,False,series_other(-IV),171,0,0,171,0,0.0,2023-10-10,2026-06-18,,
OMFREIGHT.NS,NO_REPLACEMENT,nse_equity,False,unknown_no_master_entry,170,0,0,170,0,0.0,2025-10-08,2026-06-17,,
GREENLEAF-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),168,0,0,168,0,0.0,2025-10-09,2026-06-18,,
GML-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),167,0,0,167,0,0.0,2025-09-17,2026-06-17,,
MEDISTEP-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),167,0,0,167,0,0.0,2025-08-18,2026-06-18,,
MUNISH-ST.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),167,0,0,167,0,0.0,2025-10-08,2026-06-18,,
VIGOR-ST.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),167,0,0,167,0,0.0,2025-09-12,2026-06-18,,
ANANTAM-IV.NS,NO_REPLACEMENT,non_equity_series,False,series_other(-IV),166,0,0,166,0,0.0,2025-10-16,2026-07-06,,
ANZEN-IV.NS,NO_REPLACEMENT,non_equity_series,False,series_other(-IV),166,0,0,166,0,0.0,2022-12-07,2026-07-06,,
GURUNANAK-ST.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),164,0,0,164,0,0.0,2025-10-01,2026-06-18,,
CURRENT-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),162,0,0,162,0,0.0,2025-09-03,2026-06-18,,
SHEEL-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),162,0,0,162,0,0.0,2025-10-08,2026-06-18,,
MGSL-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),161,0,0,161,0,0.0,2025-09-30,2026-06-18,,
INTEGRITY-ST.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),160,0,0,160,0,0.0,2025-05-20,2026-06-18,,
SWANDEF-BE.NS,NO_REPLACEMENT,non_equity_series,False,series_trade_for_trade(-BE/-BZ),160,0,0,160,0,0.0,2025-01-21,2026-06-18,,
AARADHYA-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),159,0,0,159,0,0.0,2025-08-11,2026-07-06,,
ECOLINE-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),158,0,0,158,0,0.0,2025-09-30,2026-06-18,,
VIJAYPD-ST.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),158,0,0,158,0,0.0,2025-10-07,2026-06-18,,
BAGDIGITAL-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),157,0,0,157,0,0.0,2025-10-08,2026-06-18,,
MPEL-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),154,0,0,154,0,0.0,2025-10-06,2026-06-18,,
VERTIS-IV.NS,NO_REPLACEMENT,non_equity_series,False,series_other(-IV),153,0,0,153,0,0.0,2025-09-01,2026-06-15,,
SHETHJI-ST.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),148,0,0,148,0,0.0,2025-11-12,2026-06-18,,
FINBUD-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),147,0,0,147,0,0.0,2025-11-13,2026-06-18,,
UTLSOLAR-BE.NS,NO_REPLACEMENT,non_equity_series,False,series_trade_for_trade(-BE/-BZ),142,0,0,142,0,0.0,2025-11-20,2026-06-18,,
NDRINVIT-IV.NS,NO_REPLACEMENT,non_equity_series,False,series_other(-IV),139,0,0,139,0,0.0,2024-02-14,2026-06-15,,
JAYESH-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),138,0,0,138,0,0.0,2025-11-03,2026-06-18,,
CURIS-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),135,0,0,135,0,0.0,2025-11-14,2026-06-18,,
CSSL-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),128,0,0,128,0,0.0,2025-12-08,2026-06-18,,
MODINATUR-BE.NS,NO_REPLACEMENT,non_equity_series,False,series_trade_for_trade(-BE/-BZ),127,0,0,127,0,0.0,2025-12-11,2026-06-18,,
ENCOMPAS-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),125,0,0,125,0,0.0,2025-12-12,2026-06-18,,
INVICTA-ST.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),124,0,0,124,0,0.0,2025-12-08,2026-06-18,,
ATLPP-E1.NS,NO_REPLACEMENT,non_equity_series,False,series_other(-E1),123,0,0,123,0,0.0,2025-12-16,2026-06-18,,
NEOCHEM-ST.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),123,0,0,123,0,0.0,2025-12-09,2026-06-18,,
SHRIKANHA-ST.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),122,0,0,122,0,0.0,2025-12-10,2026-06-17,,
RUDRA-BE.NS,NO_REPLACEMENT,non_equity_series,False,series_trade_for_trade(-BE/-BZ),121,0,0,121,0,0.0,2025-12-19,2026-06-18,,
EXIMROUTES-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),118,0,0,118,0,0.0,2025-12-19,2026-06-18,,
ASHWINI-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),116,0,0,116,0,0.0,2025-12-19,2026-06-17,,
EASTSILK-BE.NS,NO_REPLACEMENT,non_equity_series,False,series_trade_for_trade(-BE/-BZ),115,0,0,115,0,0.0,2025-08-18,2026-06-18,,
DHARARAIL-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),114,0,0,114,0,0.0,2025-12-31,2026-06-18,,
MARC-ST.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),113,0,0,113,0,0.0,2025-12-24,2026-06-18,,
E2ERAIL-ST.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),112,0,0,112,0,0.0,2026-01-02,2026-06-18,,
SHYAMDHANI-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),111,0,0,111,0,0.0,2025-12-30,2026-06-18,,
SOCL-ST.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),109,0,0,109,0,0.0,2025-12-30,2026-06-18,,
VICTORYEV-ST.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),104,0,0,104,0,0.0,2026-01-14,2026-06-18,,
AVANA-ST.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),98,0,0,98,0,0.0,2026-01-20,2026-06-18,,
FWSTC-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),98,0,0,98,0,0.0,2025-12-12,2026-06-25,,
SPEB-ST.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),98,0,0,98,0,0.0,2025-12-08,2026-06-18,,
EPWINDIA-ST.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),95,0,0,95,0,0.0,2025-12-30,2026-06-18,,
KRMAYURVED-ST.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),95,0,0,95,0,0.0,2026-01-29,2026-06-18,,
KRISHPP-E1.NS,NO_REPLACEMENT,non_equity_series,False,series_other(-E1),89,0,0,89,0,0.0,2026-01-14,2026-06-18,,
CKKRETAIL-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),87,0,0,87,0,0.0,2026-02-06,2026-06-18,,
BRANDMAN-ST.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),85,0,0,85,0,0.0,2026-02-11,2026-06-18,,
ARMOUR-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),82,0,0,82,0,0.0,2026-01-22,2026-07-06,,
BIOPOL-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),82,0,0,82,0,0.0,2026-02-13,2026-06-18,,
DCMSIL-BE.NS,NO_REPLACEMENT,non_equity_series,False,series_trade_for_trade(-BE/-BZ),81,0,0,81,0,0.0,2026-02-17,2026-06-18,,
DSFCL.NS,NO_REPLACEMENT,nse_equity,False,unknown_no_master_entry,81,0,0,81,0,0.0,2026-02-17,2026-06-18,,
GJL-ST.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),78,0,0,78,0,0.0,2026-02-11,2026-06-18,,
GAUDIUMIVF-BE.NS,NO_REPLACEMENT,non_equity_series,False,series_trade_for_trade(-BE/-BZ),73,0,0,73,0,0.0,2026-02-27,2026-06-18,,
MOBILISE-ST.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),69,0,0,69,0,0.0,2026-03-02,2026-06-18,,
YAAP-ST.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),69,0,0,69,0,0.0,2026-03-05,2026-06-18,,
MANILAM-SM.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),67,0,0,67,0,0.0,2026-02-27,2026-06-18,,
TVSMNCRPS-P1.NS,NO_REPLACEMENT,non_equity_series,False,series_other(-P1),67,0,0,67,0,0.0,2026-03-10,2026-06-18,,
AMIRCHAND.NS,NO_REPLACEMENT,nse_equity,False,unknown_no_master_entry,66,0,0,66,0,0.0,2026-04-02,2026-07-06,,
SHAIVAL-ST.NS,NO_REPLACEMENT,non_equity_series,False,series_sme(-SM/-ST),65,0,0,65,0,0.0,2016-01-14,2026-03-20,,
